"stimulus","type","trial","language","wordorder","animacy","stress","agreement","sentence"
1,"main",82,"ITA","NVN","AA","St0","Ag0",
1,"main",83,"ITA","NVN","AA","St0","Ag1",
1,"main",84,"ITA","NVN","AA","St0","Ag2",
1,"main",85,"ITA","NVN","AA","St1","Ag0",
1,"main",86,"ITA","NVN","AA","St1","Ag1",
1,"main",87,"ITA","NVN","AA","St1","Ag2",
1,"main",88,"ITA","NVN","AA","St2","Ag0",
1,"main",89,"ITA","NVN","AA","St2","Ag1",
1,"main",90,"ITA","NVN","AA","St2","Ag2",
1,"main",91,"ITA","NVN","AI","St0","Ag0",
1,"main",92,"ITA","NVN","AI","St0","Ag1",
1,"main",93,"ITA","NVN","AI","St0","Ag2",
1,"main",94,"ITA","NVN","AI","St1","Ag0",
1,"main",95,"ITA","NVN","AI","St1","Ag1",
1,"main",96,"ITA","NVN","AI","St1","Ag2",
1,"main",97,"ITA","NVN","AI","St2","Ag0",
1,"main",98,"ITA","NVN","AI","St2","Ag1",
1,"main",99,"ITA","NVN","AI","St2","Ag2",
1,"main",100,"ITA","NVN","IA","St0","Ag0",
1,"main",101,"ITA","NVN","IA","St0","Ag1",
1,"main",102,"ITA","NVN","IA","St0","Ag2",
1,"main",103,"ITA","NVN","IA","St1","Ag0",
1,"main",104,"ITA","NVN","IA","St1","Ag1",
1,"main",105,"ITA","NVN","IA","St1","Ag2",
1,"main",106,"ITA","NVN","IA","St2","Ag0",
1,"main",107,"ITA","NVN","IA","St2","Ag1",
1,"main",108,"ITA","NVN","IA","St2","Ag2",
1,"main",109,"ITA","VNN","AA","St0","Ag0",
1,"main",110,"ITA","VNN","AA","St0","Ag1",
1,"main",111,"ITA","VNN","AA","St0","Ag2",
1,"main",112,"ITA","VNN","AA","St1","Ag0",
1,"main",113,"ITA","VNN","AA","St1","Ag1",
1,"main",114,"ITA","VNN","AA","St1","Ag2",
1,"main",115,"ITA","VNN","AA","St2","Ag0",
1,"main",116,"ITA","VNN","AA","St2","Ag1",
1,"main",117,"ITA","VNN","AA","St2","Ag2",
1,"main",118,"ITA","VNN","AI","St0","Ag0",
1,"main",119,"ITA","VNN","AI","St0","Ag1",
1,"main",120,"ITA","VNN","AI","St0","Ag2",
1,"main",121,"ITA","VNN","AI","St1","Ag0",
1,"main",122,"ITA","VNN","AI","St1","Ag1",
1,"main",123,"ITA","VNN","AI","St1","Ag2",
1,"main",124,"ITA","VNN","AI","St2","Ag0",
1,"main",125,"ITA","VNN","AI","St2","Ag1",
1,"main",126,"ITA","VNN","AI","St2","Ag2",
1,"main",127,"ITA","VNN","IA","St0","Ag0",
1,"main",128,"ITA","VNN","IA","St0","Ag1",
1,"main",129,"ITA","VNN","IA","St0","Ag2",
1,"main",130,"ITA","VNN","IA","St1","Ag0",
1,"main",131,"ITA","VNN","IA","St1","Ag1",
1,"main",132,"ITA","VNN","IA","St1","Ag2",
1,"main",133,"ITA","VNN","IA","St2","Ag0",
1,"main",134,"ITA","VNN","IA","St2","Ag1",
1,"main",135,"ITA","VNN","IA","St2","Ag2",
1,"main",136,"ITA","NNV","AA","St0","Ag0",
1,"main",137,"ITA","NNV","AA","St0","Ag1",
1,"main",138,"ITA","NNV","AA","St0","Ag2",
1,"main",139,"ITA","NNV","AA","St1","Ag0",
1,"main",140,"ITA","NNV","AA","St1","Ag1",
1,"main",141,"ITA","NNV","AA","St1","Ag2",
1,"main",142,"ITA","NNV","AA","St2","Ag0",
1,"main",143,"ITA","NNV","AA","St2","Ag1",
1,"main",144,"ITA","NNV","AA","St2","Ag2",
1,"main",145,"ITA","NNV","AI","St0","Ag0",
1,"main",146,"ITA","NNV","AI","St0","Ag1",
1,"main",147,"ITA","NNV","AI","St0","Ag2",
1,"main",148,"ITA","NNV","AI","St1","Ag0",
1,"main",149,"ITA","NNV","AI","St1","Ag1",
1,"main",150,"ITA","NNV","AI","St1","Ag2",
1,"main",151,"ITA","NNV","AI","St2","Ag0",
1,"main",152,"ITA","NNV","AI","St2","Ag1",
1,"main",153,"ITA","NNV","AI","St2","Ag2",
1,"main",154,"ITA","NNV","IA","St0","Ag0",
1,"main",155,"ITA","NNV","IA","St0","Ag1",
1,"main",156,"ITA","NNV","IA","St0","Ag2",
1,"main",157,"ITA","NNV","IA","St1","Ag0",
1,"main",158,"ITA","NNV","IA","St1","Ag1",
1,"main",159,"ITA","NNV","IA","St1","Ag2",
1,"main",160,"ITA","NNV","IA","St2","Ag0",
1,"main",161,"ITA","NNV","IA","St2","Ag1",
1,"main",162,"ITA","NNV","IA","St2","Ag2",
