"stimulus","type","trial","context","center_audio","contour_1","contour_2","audio_file_1","audio_file_2","premable_text","counterbalance"
1,"critical",1,"out","sound/1_llh.wav","lll","hll","sound/c_1_2_2.wav","sound/c_1_2_1.wav",,4
2,"critical",2,"out","sound/2_llh.wav","hll","lll","sound/c_2_2_1.wav","sound/c_2_2_2.wav",,4
3,"critical",3,"in","sound/3_llh.wav","lll","hll","sound/c_3_1_2.wav","sound/c_3_1_1.wav",,4
4,"critical",4,"in","sound/4_llh.wav","hll","lll","sound/c_4_1_1.wav","sound/c_4_1_2.wav",,4
5,"critical",5,"out","sound/5_llh.wav","lll","hll","sound/c_5_2_2.wav","sound/c_5_2_1.wav",,4
6,"critical",6,"out","sound/6_llh.wav","hll","lll","sound/c_6_2_1.wav","sound/c_6_2_2.wav",,4
7,"critical",7,"in","sound/7_llh.wav","lll","hll","sound/c_7_1_2.wav","sound/c_7_1_1.wav",,4
8,"critical",8,"in","sound/8_llh.wav","hll","lll","sound/c_8_1_1.wav","sound/c_8_1_2.wav",,4
9,"critical",9,"out","sound/9_llh.wav","lll","hll","sound/c_9_2_2.wav","sound/c_9_2_1.wav",,4
10,"critical",10,"out","sound/10_llh.wav","hll","lll","sound/c_10_2_1.wav","sound/c_10_2_2.wav",,4
11,"critical",11,"in","sound/11_llh.wav","lll","hll","sound/c_11_1_2.wav","sound/c_11_1_1.wav",,4
12,"critical",12,"in","sound/12_llh.wav","hll","lll","sound/c_12_1_1.wav","sound/c_12_1_2.wav",,4
1,"filler",13,"out","sound/1_llh.wav","lll","hll","sound/f_1_2_2.wav","sound/f_1_2_1.wav",,4
2,"filler",14,"out","sound/2_llh.wav","hll","lll","sound/f_2_2_1.wav","sound/f_2_2_2.wav",,4
3,"filler",15,"in","sound/3_llh.wav","lll","hll","sound/f_3_1_2.wav","sound/f_3_1_1.wav",,4
4,"filler",16,"in","sound/4_llh.wav","hll","lll","sound/f_4_1_1.wav","sound/f_4_1_2.wav",,4
5,"filler",17,"out","sound/5_llh.wav","lll","hll","sound/f_5_2_2.wav","sound/f_5_2_1.wav",,4
6,"filler",18,"out","sound/6_llh.wav","hll","lll","sound/f_6_2_1.wav","sound/f_6_2_2.wav",,4
7,"filler",19,"in","sound/7_llh.wav","lll","hll","sound/f_7_1_2.wav","sound/f_7_1_1.wav",,4
8,"filler",20,"in","sound/8_llh.wav","hll","lll","sound/f_8_1_1.wav","sound/f_8_1_2.wav",,4
